14/02/2021,16:37,25.26,04.64,17.29,92.60,57.45,80.34
05/05/2021,11:20,91.86,29.37,23.67,29.62,05.77,62.42
13/10/2021,3:00,04.08,43.82,13.61,72.70,10.43,82.94
07/05/2022,20:09,91.39,19.68,16.78,32.30,52.85,02.63
08/04/2021,5:51,41.71,83.40,36.83,77.43,50.35,57.90
23/11/2022,12:18,36.35,85.60,82.44,53.15,13.32,52.74
15/04/2022,4:42,05.90,21.92,15.91,68.66,65.61,38.45
01/03/2021,15:16,85.70,83.95,64.23,04.22,48.18,25.02
30/08/2021,16:13,36.52,08.97,52.68,81.05,42.90,14.35
14/02/2021,0:08,43.45,62.89,21.83,57.65,41.52,86.51
20/05/2021,11:49,10.84,93.34,26.83,31.27,36.96,03.59
27/11/2022,12:34,47.27,88.77,04.06,79.43,02.40,68.06
27/12/2022,16:37,46.23,26.34,73.73,27.18,09.01,34.52
13/01/2022,19:18,86.24,46.57,36.18,94.39,80.94,39.97
07/12/2021,5:24,33.36,73.12,82.92,36.85,07.57,73.78
22/09/2021,1:36,29.17,79.52,74.77,52.33,45.02,06.94
10/04/2022,8:24,93.26,56.30,37.50,99.11,75.82,46.96
13/03/2022,11:04,97.31,75.75,09.07,99.62,84.55,83.67
04/02/2022,1:29,90.41,90.42,49.14,92.14,95.11,67.55
10/01/2021,18:23,46.34,01.76,60.32,73.55,20.78,08.61
19/12/2021,21:16,04.91,50.62,89.63,20.23,90.08,74.79
07/08/2021,15:19,78.72,81.06,63.77,63.57,98.21,54.23
24/05/2021,10:36,11.56,94.39,12.51,66.74,21.79,11.09
06/01/2021,17:54,38.03,46.32,18.83,13.51,61.98,64.64
10/09/2022,1:32,55.94,45.45,98.06,57.52,36.87,17.26
25/11/2021,21:26,83.57,01.17,05.89,99.54,12.25,45.29
20/09/2022,10:16,08.19,07.69,97.28,65.42,80.57,71.16
07/07/2022,10:08,88.65,53.08,60.78,83.35,46.48,79.81
10/02/2021,22:23,99.19,20.79,32.35,77.49,30.13,85.81
07/12/2021,10:42,60.33,60.94,95.67,48.40,23.45,43.43
08/04/2022,6:22,80.06,15.92,74.26,35.73,59.83,70.71
27/10/2021,11:46,69.89,08.13,12.21,89.41,58.67,08.05
30/07/2022,8:22,85.19,63.25,32.88,93.32,39.65,60.77
03/05/2021,19:17,06.52,52.34,10.24,25.72,32.28,50.43
11/05/2021,20:32,84.26,89.44,39.48,94.90,59.03,19.69
23/05/2022,14:08,07.89,11.58,76.30,34.48,31.98,64.69
22/11/2022,8:18,45.68,46.95,92.31,54.46,07.28,00.75
05/09/2022,7:42,98.98,80.78,72.33,68.22,39.33,90.56
25/02/2022,2:15,39.95,61.85,83.55,95.52,36.68,44.92
02/12/2021,6:39,07.00,58.87,82.75,09.07,43.63,64.38
30/06/2022,16:13,31.99,77.12,25.91,82.73,75.08,50.15
18/11/2021,0:49,16.06,68.05,19.05,40.94,76.99,42.70
20/01/2021,0:56,95.04,06.90,05.46,80.49,33.71,82.63
04/09/2021,23:05,29.81,56.34,99.96,76.67,83.16,03.37
08/06/2022,6:57,64.91,35.10,91.14,44.03,86.65,40.79
06/06/2022,2:40,20.54,35.28,83.99,66.83,57.78,34.26
06/01/2022,19:37,28.82,92.63,16.45,76.66,84.47,97.42
15/09/2021,0:06,29.39,77.64,83.43,08.76,96.64,76.85
25/08/2021,8:28,36.96,23.67,98.34,96.78,80.62,57.53
29/12/2021,9:31,81.04,58.70,45.44,13.17,27.94,78.16
